Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
2014-02-14,2014,2,14,-0.1,-6.38,-3.26,0,0.04,0.04,21.4
2014-02-15,2014,2,15,-3.5,-12.22,-7.88,0,0,0,20.2
2014-02-16,2014,2,16,-7.68,-14.5,-11.12,0,0.36,0.24,20
2014-02-17,2014,2,17,-2.76,-17.54,-10.18,0,2.24,2.12,20.2
2014-02-18,2014,2,18,-0.24,-5.42,-2.86,0,2.6,3.34,25
2014-02-19,2014,2,19,6.08,-5.02,0.52,0.12,0,0.42,24.2
2014-02-20,2014,2,20,2.56,-5.1,-1.3,6.4,2.2,14.08,21.6
2014-02-21,2014,2,21,4.62,0.04,2.34,2.04,0,5.54,18.8
2014-02-22,2014,2,22,2.96,-1.2,0.9,0,0,0,16.8
2014-02-23,2014,2,23,0,-5.48,-2.78,0,0.08,0.04,15.8
2014-02-24,2014,2,24,-5.28,-9.62,-7.48,0,0.04,0.04,15.2
2014-02-25,2014,2,25,-6.04,-11.56,-8.82,0,0.08,0.08,15.2
2014-02-26,2014,2,26,-9.16,-15.26,-12.22,0,0,0,14.8
2014-02-27,2014,2,27,-8.88,-16.1,-12.52,0,0.08,0.14,14.8
2014-02-28,2014,2,28,-7.26,-19.08,-13.18,0,0,0,14.8
2014-03-01,2014,3,1,-1.9,-11.38,-6.68,0,2.84,2.84,14.6
2014-03-02,2014,3,2,-9.32,-16.08,-12.72,0,0.76,0.94,18.8
2014-03-03,2014,3,3,-11.42,-19.28,-15.38,0,0,0.04,18.4
2014-03-04,2014,3,4,-8.62,-18.46,-13.56,0,1.52,0.96,18.4
2014-03-05,2014,3,5,-5.14,-13.96,-9.56,0,0,0.04,19.2
2014-03-06,2014,3,6,-3.64,-12.36,-8.02,0,2.34,0.62,21
2014-03-07,2014,3,7,2.98,-11.56,-4.32,0,0,0.06,20.4
2014-03-08,2014,3,8,1.94,-6.06,-2.08,0,0,0,17.4
2014-03-09,2014,3,9,0.78,-10.24,-4.76,0,0,0,16.2
2014-03-10,2014,3,10,6.32,-0.68,2.84,0,0,0,14.8
2014-03-11,2014,3,11,10.28,2.28,6.32,0,0.16,0.12,11.4
2014-03-12,2014,3,12,3.08,-13.34,-5.16,0,8.92,11.68,7.8
2014-03-13,2014,3,13,-5.46,-17.18,-11.36,0,0,0,18.2
2014-03-14,2014,3,14,9.8,-7.08,1.38,0,0,0,16.4
2014-03-15,2014,3,15,5,-6.74,-0.88,0,0,0,10
2014-03-16,2014,3,16,-7.72,-13.82,-10.8,0,0,0,8.6
2014-03-17,2014,3,17,-3.98,-15.28,-9.66,0,0,0,8.6
2014-03-18,2014,3,18,1.96,-6.94,-2.5,0,0,0,7.2
2014-03-19,2014,3,19,5.72,-0.4,2.68,2.2,0,4.6,6
2014-03-20,2014,3,20,3.44,-1.38,1.06,0.2,0,0.2,4.2
2014-03-21,2014,3,21,3.28,-3.3,-1.11E-17,0,0.4,0.24,3.2
2014-03-22,2014,3,22,3.02,-5.44,-1.22,0,0.64,0.84,3.8
2014-03-23,2014,3,23,-5.06,-10.12,-7.62,0,0,0,2.8
2014-03-24,2014,3,24,-3.16,-10.92,-7.06,0,0,0,2.6
2014-03-25,2014,3,25,0.64,-9.62,-4.5,0,0.04,0.04,2.6
2014-03-26,2014,3,26,-3.82,-11.7,-7.8,0,0,0,2.4
2014-03-27,2014,3,27,3.82,-9.16,-2.7,1.2,0.48,2.02,2.2
2014-03-28,2014,3,28,9.54,1.56,5.58,1.88,0,2.9,2
2014-03-29,2014,3,29,2.94,0.86,1.92,0,0,0,1.8
2014-03-30,2014,3,30,7.38,-1.2,3.12,0,0,0,1.2
2014-03-31,2014,3,31,10.58,-1,4.82,0,0,0,0.2
2014-04-01,2014,4,1,,,,0,0,0,0
2014-04-02,2014,4,2,7.62,-0.1,3.8,0,0,0,0
2014-04-03,2014,4,3,4.5,-1.8,1.4,0,0,0.1,0
2014-04-04,2014,4,4,,,,6.4,0,9.14,0
2014-04-05,2014,4,5,4.3,-1.64,1.36,0,0,0,0
2014-04-06,2014,4,6,11.36,-3.44,4,0,0,0,0
2014-04-07,2014,4,7,8.98,0.54,4.78,9.36,0,15.46,0
2014-04-08,2014,4,8,12.56,1.78,7.18,1.88,0,4.26,0
2014-04-09,2014,4,9,10.6,1.06,5.86,0,0,0,0
2014-04-10,2014,4,10,17.98,2.44,10.22,0.04,0,0.04,0
2014-04-11,2014,4,11,14.4,3.06,8.74,0.04,0,0.04,0
2014-04-12,2014,4,12,14.44,2.6,8.52,5.56,0,6.82,0
2014-04-13,2014,4,13,19.1,5.04,12.1,2.94,0,4.8,0
2014-04-14,2014,4,14,19.84,3.34,11.62,2.96,0.4,7.26,0
2014-04-15,2014,4,15,1.7,-4.5,-1.42,1.12,1.28,5.3,1
2014-04-16,2014,4,16,4.24,-6.26,-1.04,0,0,0,0.2
2014-04-17,2014,4,17,7.76,-0.84,3.48,0,0,0,0
2014-04-18,2014,4,18,10.74,2.06,6.42,0.24,0,0.34,0
2014-04-19,2014,4,19,11.34,0.38,5.88,0,0,0.04,0
2014-04-20,2014,4,20,12.12,1.42,6.78,0,0,0,0
2014-04-21,2014,4,21,19,5.02,12.06,0.72,0,0.72,0
2014-04-22,2014,4,22,14.2,5.3,9.78,1.68,0,3.08,0
2014-04-23,2014,4,23,9,2.12,5.58,0.06,0,0.12,0
2014-04-24,2014,4,24,12.32,0.32,6.34,0,0,0,0
2014-04-25,2014,4,25,10.14,4.46,7.32,2.52,0,3.7,0
2014-04-26,2014,4,26,9.66,3.44,6.58,0,0,0.06,0
2014-04-27,2014,4,27,12.22,2.02,7.14,0,0,0,0
2014-04-28,2014,4,28,12.38,3.16,7.78,0,0,0,0
2014-04-29,2014,4,29,8.22,5.68,6.96,15,0,28.44,0
2014-04-30,2014,4,30,6.98,5.1,6.06,2.88,0,5.68,0
2014-05-01,2014,5,1,14.72,5.7,10.22,0.68,0,1.48,0
2014-05-02,2014,5,2,11.86,6.54,9.22,0.56,0,0.82,0
2014-05-03,2014,5,3,12.2,6.46,9.38,2.64,0,3.26,0
2014-05-04,2014,5,4,14.26,4.92,9.62,0.08,0,0.14,0
2014-05-05,2014,5,5,14.4,4.12,9.28,0,0,0,0
2014-05-06,2014,5,6,14.86,6.22,10.56,0,0,0,0
2014-05-07,2014,5,7,13.2,5.02,9.14,0,0,0.04,0
2014-05-08,2014,5,8,18.18,8.92,13.56,0.04,0,0.04,0
2014-05-09,2014,5,9,20.56,10.66,15.62,0.32,0,0.54,0
2014-05-10,2014,5,10,20.48,9.92,15.22,0,0,0.04,0
2014-05-11,2014,5,11,21.88,6.7,14.32,0,0,0,0
2014-05-12,2014,5,12,21.34,11.24,16.32,1.48,0,1.56,0
2014-05-13,2014,5,13,19.52,10.78,15.18,2.52,0,6.12,0
2014-05-14,2014,5,14,19.68,11.54,15.64,7.04,0,12.84,0
2014-05-15,2014,5,15,20.1,10.1,15.12,8.36,0,12.78,0
2014-05-16,2014,5,16,12.7,5.14,8.94,1.72,0,2.9,0
2014-05-17,2014,5,17,12.68,3,7.88,0,0,0,0
2014-05-18,2014,5,18,14.7,3.58,9.18,0.88,0,1.32,0
2014-05-19,2014,5,19,21.24,5.92,13.62,0,0,0.08,0
2014-05-20,2014,5,20,19.22,10.06,14.66,0.32,0,0.76,0
2014-05-21,2014,5,21,20.06,10.62,15.36,4.96,0,5.02,0
2014-05-22,2014,5,22,21.04,,,0,0,0,0
2014-05-23,2014,5,23,17.34,9.72,13.56,0.04,0,0.04,0
2014-05-24,2014,5,24,,,,0,0,0,0
2014-05-25,2014,5,25,,,,0,0,0,0
2014-05-26,2014,5,26,29.42,15.6,22.54,0,0,0.04,0
2014-05-27,2014,5,27,27.68,16.62,22.18,2.88,0,6.82,0
2014-05-28,2014,5,28,17.38,12.5,14.98,0,0,0,0
2014-05-29,2014,5,29,18.52,11.74,15.16,0,0,0,0
2014-05-30,2014,5,30,24.84,10.82,17.84,0,0,0,0
2014-05-31,2014,5,31,22.5,11.72,17.12,0,0,0,0
2014-06-01,2014,6,1,22.94,9.66,16.34,0,0,0.04,0
2014-06-02,2014,6,2,27.58,14.12,20.88,2.72,0,2.92,0
2014-06-03,2014,6,3,27.64,13.74,20.74,3.92,0,6.5,0
2014-06-04,2014,6,4,,11.52,,0,0,0,0
2014-06-05,2014,6,5,18.06,11.14,14.62,0,0,0,0
2014-06-06,2014,6,6,23.96,9.52,16.78,0,0,0,0
2014-06-07,2014,6,7,25.36,10.14,17.78,0,0,0,0
2014-06-08,2014,6,8,20.62,13.04,16.84,1.44,0,1.48,0
2014-06-09,2014,6,9,25.98,14.38,20.2,0,0,0.04,0
2014-06-10,2014,6,10,23.58,14.08,18.86,0.44,0,0.44,0
2014-06-11,2014,6,11,22.78,15.66,19.24,13.4,0,20.14,0
2014-06-12,2014,6,12,25.58,16.06,20.84,4.92,0,5.1,0
2014-06-13,2014,6,13,24.32,13.16,18.78,0.16,0,0.16,0
2014-06-14,2014,6,14,20.08,10.84,15.5,0,0,0,0
2014-06-15,2014,6,15,20.78,10.3,15.58,0.84,0,0.88,0
2014-06-16,2014,6,16,23.72,12.1,17.92,0.8,0,0.9,0
2014-06-17,2014,6,17,28.56,14.54,21.58,14.52,0,25.06,0
2014-06-18,2014,6,18,24.36,17.28,20.86,0.72,0,0.82,0
2014-06-19,2014,6,19,23.9,15.88,19.9,0,0,0.14,0
2014-06-20,2014,6,20,21.44,13.32,17.4,0,0,0.04,0
2014-06-21,2014,6,21,23.46,14.5,19,0,0,0,0
2014-06-22,2014,6,22,25.46,12.6,19.04,0,0,0.04,0
2014-06-23,2014,6,23,23.46,14.6,19.06,0.48,0,1.7,0
2014-06-24,2014,6,24,27.8,17.8,22.84,5.96,0,7.04,0
2014-06-25,2014,6,25,23.5,18.44,21,11.64,0,21.88,0
2014-06-26,2014,6,26,26.74,17.58,22.18,0.12,0,0.16,0
2014-06-27,2014,6,27,26.66,15.64,21.18,0,0,0.04,0
2014-06-28,2014,6,28,27.98,18.14,23.08,0,0,0.1,0
2014-06-29,2014,6,29,29.68,19.2,24.46,0.76,0,3.96,0
2014-06-30,2014,6,30,29.34,20.78,25.1,0,0,0,0
2014-07-01,2014,7,1,29.64,21.98,25.84,4.2,0,4.5,0
2014-07-02,2014,7,2,28.82,18.72,23.8,1.08,0,1.08,0
2014-07-03,2014,7,3,23.08,13.6,18.38,0.16,0,0.62,0
2014-07-04,2014,7,4,24.12,12.18,18.18,0,0,0,0
2014-07-05,2014,7,5,27.06,12.84,20,0,0,0,0
2014-07-06,2014,7,6,26.78,15.72,21.26,3.28,0,3.28,0
2014-07-07,2014,7,7,28.66,18.32,23.52,5.32,0,10,0
2014-07-08,2014,7,8,24.28,15.56,19.96,5.68,0,13.62,0
2014-07-09,2014,7,9,22.6,13.58,18.12,0,0,0.08,0
2014-07-10,2014,7,10,21.86,11.02,16.46,0,0,0,0
2014-07-11,2014,7,11,24.26,12.22,18.26,0,0,0,0
2014-07-12,2014,7,12,27.92,14.5,21.24,0.8,0,0.8,0
2014-07-13,2014,7,13,29.2,19.28,24.28,2.12,0,6.56,0
2014-07-14,2014,7,14,22.56,15.7,19.16,1.32,0,1.32,0
2014-07-15,2014,7,15,24.76,14.62,19.7,2.56,0,4.98,0
2014-07-16,2014,7,16,21.7,12.46,17.1,1.24,0,2.32,0
2014-07-17,2014,7,17,23.3,10.24,16.8,0,0,0.04,0
2014-07-18,2014,7,18,24.54,11.2,17.9,0,0,0,0
2014-07-19,2014,7,19,21.24,15.2,18.24,4.2,0,7.08,0
2014-07-20,2014,7,20,23.82,16.92,20.38,0.96,0,1.06,0
2014-07-21,2014,7,21,27.76,15.44,21.62,0,0,0.04,0
2014-07-22,2014,7,22,29.28,17.12,23.22,1.52,0,1.82,0
2014-07-23,2014,7,23,23.96,16.52,20.24,0,0,0.86,0
2014-07-24,2014,7,24,23,13.74,18.4,0,0,0,0
2014-07-25,2014,7,25,24.9,12.46,18.72,0.12,0,0.12,0
2014-07-26,2014,7,26,25.84,15.88,20.9,0,0,0,0
2014-07-27,2014,7,27,28.62,18.02,23.34,35.4,0,38.96,0
2014-07-28,2014,7,28,21.16,14.6,17.9,5.72,0,11.62,0
2014-07-29,2014,7,29,21.22,13.58,17.44,0.36,0,0.76,0
2014-07-30,2014,7,30,23.1,13.28,18.22,1.2,0,3.92,0
2014-07-31,2014,7,31,24.9,13.44,19.18,0,0,0,0
2014-08-01,2014,8,1,27.18,15.9,21.58,18.72,0,18.72,0
2014-08-02,2014,8,2,25.92,15.26,20.6,0.76,0,0.76,0
2014-08-03,2014,8,3,26.28,17.96,22.16,0.16,0,0.16,0
2014-08-04,2014,8,4,26.72,16.92,21.86,10.2,0,10.84,0
2014-08-05,2014,8,5,24.26,16.48,20.4,0.44,0,0.44,0
2014-08-06,2014,8,6,25.22,15.5,20.4,0,0,0,0
2014-08-07,2014,8,7,24.8,16,20.42,0,0,0,0
2014-08-08,2014,8,8,24.86,14.24,19.56,0,0,0,0
2014-08-09,2014,8,9,26.02,14.7,20.38,0,0,0,0
2014-08-10,2014,8,10,26.28,14.64,20.48,0,0,0,0
2014-08-11,2014,8,11,,17.66,,7.92,0,10.3,0
2014-08-12,2014,8,12,,,,7.56,0,9.38,0
2014-08-13,2014,8,13,,,,0.04,0,0.04,0
2014-08-14,2014,8,14,18.1,12.38,15.26,0.04,0,0.04,0
2014-08-15,2014,8,15,23.22,12.06,17.64,0,0,0,0
2014-08-16,2014,8,16,20.58,12.8,16.72,1.76,0,2.1,0
2014-08-17,2014,8,17,23.04,13.52,18.3,0,0,0,0
2014-08-18,2014,8,18,21.04,12.24,16.66,0,0,0,0
2014-08-19,2014,8,19,21.74,11.58,16.7,0.08,0,0.08,0
2014-08-20,2014,8,20,23.8,16.6,20.2,1.88,0,2.24,0
2014-08-21,2014,8,21,25.9,17.34,21.66,0.32,0,1.64,0
2014-08-22,2014,8,22,25.06,17.1,21.1,1.64,0,1.64,0
2014-08-23,2014,8,23,22.04,18.38,20.24,0,0,0,0
2014-08-24,2014,8,24,24.12,17.2,20.68,0,0,0,0
2014-08-25,2014,8,25,26.66,16.18,21.44,0,0,0,0
2014-08-26,2014,8,26,30.14,17.52,23.84,0,0,0,0
2014-08-27,2014,8,27,24.66,14.4,19.56,0,0,0,0
2014-08-28,2014,8,28,22.62,12.44,17.56,0,0,0,0
2014-08-29,2014,8,29,22.3,11.86,17.1,0,0,0,0
2014-08-30,2014,8,30,28.3,17.28,22.82,0.88,0,1.52,0
2014-08-31,2014,8,31,29.34,20.06,24.74,0,0,0,0
2014-09-01,2014,9,1,27.38,18.02,22.72,1.08,0,1.74,0
2014-09-02,2014,9,2,24.72,16.56,20.66,13.24,0,18.74,0
2014-09-03,2014,9,3,26.62,14.22,20.44,0,0,0,0
2014-09-04,2014,9,4,28.72,15.8,22.3,0,0,0,0
2014-09-05,2014,9,5,29.8,19.68,24.78,17.44,0,28.26,0
2014-09-06,2014,9,6,21.88,13.58,17.76,2.8,0,3.72,0
2014-09-07,2014,9,7,21.96,11.7,16.86,0,0,0,0
2014-09-08,2014,9,8,22.36,11.96,17.18,0,0,0,0
2014-09-09,2014,9,9,21.66,17.26,19.48,0,0,0,0
2014-09-10,2014,9,10,22.7,16.76,19.74,18.4,0,23.72,0
2014-09-11,2014,9,11,21.14,10.98,16.1,2.32,0,3.12,0
2014-09-12,2014,9,12,15.4,9.22,12.32,0.04,0,0.04,0
2014-09-13,2014,9,13,14.4,7.42,10.92,1.56,0,1.9,0
2014-09-14,2014,9,14,15.36,5.2,10.3,0,0,0,0
2014-09-15,2014,9,15,18.3,8.72,13.52,2.56,0,5.08,0
2014-09-16,2014,9,16,19.12,9.14,14.14,0,0,0,0
2014-09-17,2014,9,17,20.54,7.52,14.06,0,0,0,0
2014-09-18,2014,9,18,15.02,7.1,11.08,0.06,0,0.06,0
2014-09-19,2014,9,19,14.16,5.22,9.72,0,0,0,0
2014-09-20,2014,9,20,23.9,9.04,16.5,1.16,0,1.4,0
2014-09-21,2014,9,21,24.22,11.48,17.86,9.18,0,16.06,0
2014-09-22,2014,9,22,15.3,8.44,11.88,0,0,0,0
2014-09-23,2014,9,23,22.1,8.2,15.18,0,0,0,0
2014-09-24,2014,9,24,21.98,10.26,16.14,0,0,0,0
2014-09-25,2014,9,25,21.3,11.16,16.26,0,0,0,0
2014-09-26,2014,9,26,23.26,10.28,16.8,0,0,0,0
2014-09-27,2014,9,27,24.76,11.4,18.1,0,0,0,0
2014-09-28,2014,9,28,25.12,12.16,18.68,0,0,0,0
2014-09-29,2014,9,29,24.12,12.96,18.56,0,0,0,0
2014-09-30,2014,9,30,19.3,15.14,17.24,0.08,0,0.08,0
2014-10-01,2014,10,1,16.2,14.3,15.28,0,0,0,0
2014-10-02,2014,10,2,18.76,14.48,16.64,0,0,0,0
2014-10-03,2014,10,3,22.42,14.5,18.48,10.56,0,13.58,0
2014-10-04,2014,10,4,14.58,6.34,10.5,1.08,0,2.12,0
2014-10-05,2014,10,5,13.76,3.76,8.8,0.24,0,0.24,0
2014-10-06,2014,10,6,17.14,9.34,13.26,2.44,0,2.64,0
2014-10-07,2014,10,7,17.56,10.26,13.94,4.44,0,10.76,0
2014-10-08,2014,10,8,,,,0.2,0,0.3,0
2014-10-09,2014,10,9,,4.64,,0,0,0,0
2014-10-10,2014,10,10,13.96,4.38,9.2,0,0,0,0
2014-10-11,2014,10,11,14.18,2.34,8.3,0,0,0,0
2014-10-12,2014,10,12,12.5,1.48,7.02,0,0,0,0
2014-10-13,2014,10,13,15.18,5.9,10.56,0,0,0,0
2014-10-14,2014,10,14,22.24,13.14,17.7,1.36,0,1.52,0
2014-10-15,2014,10,15,18.06,12.64,15.38,1.54,0,2.62,0
2014-10-16,2014,10,16,19.12,11.96,15.58,12.28,0,19.08,0
2014-10-17,2014,10,17,16.28,11.44,13.88,0.1,0,0.1,0
2014-10-18,2014,10,18,12.7,4.68,8.72,0,0,0,0
2014-10-19,2014,10,19,9.22,2.64,5.94,0.48,0,0.48,0
2014-10-20,2014,10,20,11.12,5.26,8.2,4.48,0,7.6,0
2014-10-21,2014,10,21,11.16,6.64,8.92,1.48,0,2.38,0
2014-10-22,2014,10,22,13.3,4.08,8.72,0,0,0,0
2014-10-23,2014,10,23,16.48,5.78,11.14,0.04,0,0.04,0
2014-10-24,2014,10,24,14.34,4.2,9.28,0,0,0,0
2014-10-25,2014,10,25,16.56,7.88,12.26,0,0,0,0
2014-10-26,2014,10,26,12.44,4.94,8.72,0,0,0,0
2014-10-27,2014,10,27,11.46,1.84,6.66,0.64,0,0.7,0
2014-10-28,2014,10,28,19.9,9.38,14.66,0.96,0,1.62,0
2014-10-29,2014,10,29,12.82,5.86,9.36,0,0,0.04,0
2014-10-30,2014,10,30,9.48,3.66,6.6,0.4,0,0.4,0
2014-10-31,2014,10,31,7,2.04,4.56,6.94,0.28,12.44,0
2014-11-01,2014,11,1,3.74,-0.32,1.72,0,1.14,1.76,0
2014-11-02,2014,11,2,7.64,-2.04,2.82,0.04,0,0.04,0
2014-11-03,2014,11,3,13.52,2.08,7.8,0.04,0,0.14,0
2014-11-04,2014,11,4,13.34,8.78,11.08,3,0,4.68,0
2014-11-05,2014,11,5,10.36,4.46,7.44,0,0,0,0
2014-11-06,2014,11,6,9.36,3.56,6.48,1.7,0,3.38,0
2014-11-07,2014,11,7,4.4,-1.14,1.66,0.16,0,0.48,0
2014-11-08,2014,11,8,6.54,-1.74,2.44,1.24,0,1.6,0
2014-11-09,2014,11,9,7.3,1.86,4.6,0.12,0,0.12,0
2014-11-10,2014,11,10,9.02,4.14,6.6,0.16,0,0.28,0
2014-11-11,2014,11,11,,,,0.68,0,0.72,0
2014-11-12,2014,11,12,7.86,0.88,4.4,0,0,0.04,0
2014-11-13,2014,11,13,1.72,-2.38,-0.32,0,0.18,0.34,0
2014-11-14,2014,11,14,2.48,-3.7,-0.62,0,0,0.04,0
2014-11-15,2014,11,15,3.38,-5.02,-0.82,0,0,0,0
2014-11-16,2014,11,16,0.28,-1.68,-0.72,0,1.54,1.84,0
2014-11-17,2014,11,17,1.54,-4.8,-1.66,0,3.34,6.28,2.8
2014-11-18,2014,11,18,-3.9,-8.48,-6.2,0,0,0.04,2.6
2014-11-19,2014,11,19,-0.56,-9.12,-4.86,0,3,2.92,2.6
2014-11-20,2014,11,20,-2.32,-6.6,-4.48,0,0,0,4.2
2014-11-21,2014,11,21,-1.44,-9.24,-5.36,0,0,0.04,3.8
2014-11-22,2014,11,22,6.48,-4.94,0.78,0.6,0,1.3,2.6
2014-11-23,2014,11,23,9.78,3.98,6.9,4.4,0,5.06,0
2014-11-24,2014,11,24,,,,6.96,0,10.18,0
2014-11-25,2014,11,25,3.78,0.68,2.26,0,0,0,0
2014-11-26,2014,11,26,,0.02,,0,0,0,0
2014-11-27,2014,11,27,2.4,-3.64,-0.64,0,0.16,0.24,0
2014-11-28,2014,11,28,-1.6,-6.58,-4.1,0,0.1,0.04,0
2014-11-29,2014,11,29,8.06,-4.04,2.02,0,0,0,0
2014-11-30,2014,11,30,12.82,3.58,8.24,0.32,0,0.38,0
2014-12-01,2014,12,1,3.52,-5.86,-1.2,0,0,0,0
2014-12-02,2014,12,2,1.74,-9.94,-4.12,0,0.68,0.76,0
2014-12-03,2014,12,3,2.82,-1.72,0.56,0,0.14,0.3,0.2
2014-12-04,2014,12,4,0.6,-4.32,-1.88,0,0,0,0
2014-12-05,2014,12,5,3.24,-3.34,-0.04,0,0,0,0
2014-12-06,2014,12,6,5.82,-1.4,2.22,0,0,0,0
2014-12-07,2014,12,7,-0.58,-6.5,-3.56,0,0,0,0
2014-12-08,2014,12,8,3.62,-3.04,0.3,0,0,0,0
2014-12-09,2014,12,9,4.44,0.72,2.62,0.16,0.08,0.34,0
2014-12-10,2014,12,10,0.28,-4.38,-2.08,0,2.4,2.32,0
2014-12-11,2014,12,11,-2.42,-5.74,-4.1,0,10,12.28,5.2
2014-12-12,2014,12,12,2.82,-3.8,-0.52,0,0,2.16,11.6
2014-12-13,2014,12,13,2.46,0.52,1.5,0,0,0,10.4
2014-12-14,2014,12,14,3.92,1.62,2.8,0.36,0.04,0.5,5.2
2014-12-15,2014,12,15,3.92,2.1,3.04,0.12,0,0.12,2
2014-12-16,2014,12,16,4.58,1.62,3.12,2.28,0,4.26,0
2014-12-17,2014,12,17,4.8,-0.08,2.4,1.4,0.7,3.84,0
2014-12-18,2014,12,18,0.02,-4.04,-2.04,0,0,0,0.6
2014-12-19,2014,12,19,-0.46,-5.56,-3.04,0,0,0,0.6
2014-12-20,2014,12,20,0.38,-6.44,-3.06,0,0,0,0.2
2014-12-21,2014,12,21,2.54,-3.08,-0.28,0,0,0,0
2014-12-22,2014,12,22,2.22,,,0,0,0,0
2014-12-23,2014,12,23,6.22,0.44,3.36,1.4,0,1.4,0
2014-12-24,2014,12,24,10.04,5.1,7.58,4.52,0,7.14,0
2014-12-25,2014,12,25,6,3.5,4.78,0.06,0,0.18,0
2014-12-26,2014,12,26,6.84,0.86,3.86,0,0,0,0
2014-12-27,2014,12,27,9.66,2.12,5.92,0.12,0,0.18,0
2014-12-28,2014,12,28,,,,0,0,0,0
2014-12-29,2014,12,29,0.46,-4.78,-2.18,0,0,0,0
2014-12-30,2014,12,30,-3.04,-7.56,-5.34,0.08,0.04,0.12,0
2014-12-31,2014,12,31,-5.6,-8.84,-7.26,0,0.08,0.08,0
2015-01-01,2015,1,1,-1.44,-7.52,-4.5,0,0.36,0.28,0
2015-01-02,2015,1,2,-0.82,-5.84,-3.38,0,0.2,0.2,0.4
2015-01-03,2015,1,3,2.08,-6.18,-2.08,5.08,1.92,11,0.2
2015-01-04,2015,1,4,4.38,-4.42,0,3.2,0.12,6.04,0.6
2015-01-05,2015,1,5,-5.94,-12.84,-9.42,0,0.2,0.24,0.2
